_id,Statute,Address of Occurrence,Ticket Date and Time,Description
yb208293,625-5/11-305(a),SHERIDAN RD AND CHICAGO AVE,"October 09, 2014 at 7:47:00 PM",Disobey Traffic Control Device
yb100759,625-5/11-1414(a),CLARK ST AND MAPLE AVE,"October 10, 2014 at 8:41:00 AM",Passed School Bus-Loading or Unloading
25953,8-14-3,2705 ASHLAND AVE,"October 10, 2014 at 8:00:00 PM",Possession of Drug Paraphernalia
yb208294,625-5/11-305(a),MAPLE AVE AND SIMPSON ST,"October 18, 2014 at 3:19:00 AM",Disobey Traffic Control Device
yb208295,625-5/3-707,MAPLE AVE AND SIMPSON ST,"October 18, 2014 at 3:19:00 AM",Operate Uninsured Motor Vehicle
yb208-296,625-5/11-704(a),SHERMAN AVE AND FOSTER ST,"October 25, 2014 at 7:47:00 PM",Improper Overtaking-On Right
yb208297,625-5/11-905,SHERMAN AVE AND FOSTER ST,"October 25, 2014 at 7:47:00 PM",Failed to Yield-Merging Traffic
yb208298,625-5/6-303,SHERMAN AVE AND FOSTER ST,"October 25, 2014 at 7:47:00 PM","Suspend, Revoked Driver's License"
yb208660,625-5/11-601(b),1700 SHERIDAN RD,"October 28, 2014 at 9:43:00 AM",Speeding-Over Statutory Limit
yb208661,625-5/11-1002,RIDGE AVE AND FOSTER ST,"October 29, 2014 at 7:40:00 AM",Failed to Yield to Pedestrian at Crosswalk
yb208381,625-5/11-1204(b),SHERMAN AVE AND LINCOLN ST,"October 31, 2014 at 1:55:00 PM",Disobeyed Stop Sign
27971,9-2-7,2339 SHERIDAN RD,"October 31, 2014 at 8:48:00 PM",Fire Department (Interference With)
27972,3-4-14(a),2339 SHERIDAN RD,"October 31, 2014 at 8:48:00 PM",Minor in Possession Purchase/Accept
27973,3-4-14(a),2339 SHERIDAN RD,"October 31, 2014 at 8:48:00 PM",Minor in Possession Purchase/Accept
58223,9-5-11(B),1915 MAPLE AVE,"November 02, 2014 at 1:22:00 AM",Unlawful Urination/Defecation in Public
57777,9-5-18-1,636 EMERSON ST,"November 02, 2014 at 1:29:00 AM",Disobey Police Officer in Public PLace
57778,9-5-18-1,1935 SHERIDAN RD,"November 02, 2014 at 1:29:00 AM",Disobey Police Officer in Public PLace
57779,9-5-18-1,1935 SHERIDAN RD,"November 02, 2014 at 2:29:00 AM",Disobey Police Officer in Public PLace
yb208508,625-5/11-1204(b),FOSTER ST AND MAPLE AVE,"November 05, 2014 at 10:00:00 AM",Disobeyed Stop Sign
1457780,8-14-3,2305 SHERIDAN RD,"November 11, 2014 at 10:00:00 PM",Possession of Drug Paraphernalia
1457781,8-13-2,2305 SHERIDAN RD,"November 11, 2014 at 10:00:00 PM",Possession of Cannabis Prohibited
yb208662,625-5/11-601(b),SHERMAN AVE AND HAMLIN ST,"November 17, 2014 at 10:09:00 AM",Speeding-Over Statutory Limit
yb208509,625-5/11-1204(b),ORRINGTON AVE AND EMERSON ST,"November 19, 2014 at 11:30:00 PM",Disobeyed Stop Sign
yb208510,625-5/6-112,ORRINGTON AVE AND EMERSON ST,"November 19, 2014 at 11:30:00 PM",Driver's License Not on Person-Failure to Display
yb208663,625-5/11-1414(b),MAPLE AVE AND FOSTER ST,"November 24, 2014 at 8:45:00 AM",Illegal School Bus Operation
1457782,9-5-10(C)1,1501 CENTRAL ST,"November 29, 2014 at 11:45:00 AM",Alcoholic Beverages(Consumption/Possession In Public)
yb208664,625-5/11-601(b),SHERMAN AVE AND SIMPSON ST,"December 01, 2014 at 1:10:00 PM",Speeding-Over Statutory Limit
1457783,3-4-14(c),2400 SHERIDAN RD,"December 04, 2014 at 1:55:00 AM",Fraudulent ID
ym303107,625-5/6-107(e),SHERIDAN RD AND NOYES ST,"December 06, 2014 at 11:06:00 AM",Graduated Driver: Unlawful Number of Passengers
yb208665,625-5/11-1002,SHERIDAN RD AND HINMAN AVE,"December 07, 2014 at 12:39:00 PM",Failed to Yield to Pedestrian at Crosswalk
yb208382,625-5/11-1204(b),EMERSON ST AND ORRINGTON AVE,"December 14, 2014 at 1:18:00 PM",Disobeyed Stop Sign
yb208383,625-5/11-708,600 EMERSON ST,"December 15, 2014 at 10:40:00 AM","Improper Lane Usage-One Way Street,Wrong Side, Violated Medium"
yb208667,625-5/11-1414(a),MAPLE AVE AND GARNETT PL,"December 17, 2014 at 8:42:00 AM",Passed School Bus-Loading or Unloading
yb208668,625-5/3-707,MAPLE AVE AND GARNETT PL,"December 17, 2014 at 8:42:00 AM",Operate Uninsured Motor Vehicle
yb208384,625-5/11-1204(b),EMERSON ST AND ORRINGTON AVE,"December 19, 2014 at 10:41:00 AM",Disobeyed Stop Sign
yb208447,625-5/11-306,CHURCH ST AND MAPLE AVE,"December 19, 2014 at 11:40:00 PM",Disobeyed Traffic Control Signal
yb208643,625-5/11-709,ORRINGTON AVE AND DAVIS ST,"December 21, 2014 at 6:02:00 PM",Improper Lane Usage-Laned Roadways
yb208644,625-5/6-112,ORRINGTON AVE AND DAVIS ST,"December 21, 2014 at 6:02:00 PM",Driver's License Not on Person-Failure to Display
yb208669,625-5/11-1002,SHERIDAN RD AND HINMAN AVE,"January 03, 2015 at 10:03:00 AM",Failed to Yield to Pedestrian at Crosswalk
yb208511,625-5/11-1204(b),EMERSON ST AND MAPLE AVE,"January 07, 2015 at 12:00:00 PM",Disobeyed Stop Sign
yt358238,625-5/11-1204(b),NOYES ST AND ORRINGTON AVE,"January 07, 2015 at 4:40:00 PM",Disobeyed Stop Sign
1527974,9-5-13,1999 CAMPUS DR,"January 10, 2015 at 10:09:00 PM",Trespass
yb208670,625-5/11-1414(a),MAPLE AVE AND GARNETT PL,"January 13, 2015 at 8:45:00 AM",Passed School Bus-Loading or Unloading
yb208671,625-5/11-1002,SHERIDAN RD AND HINMAN AVE,"January 15, 2015 at 8:59:00 AM",Failed to Yield to Pedestrian at Crosswalk
yb208385,625-5/11-1204(b),EMERSON ST AND ORRINGTON AVE,"January 17, 2015 at 1:33:00 PM",Disobeyed Stop Sign
yb208673,625-5/11-1002,RIDGE AVE AND FOSTER ST,"January 21, 2015 at 9:03:00 AM",Failed to Yield to Pedestrian at Crosswalk
yb208512,625-5/11-1204(b),EMERSON ST AND ORRINGTON AVE,"January 29, 2015 at 10:20:00 AM",Disobeyed Stop Sign
yb208513,625-5/11-1204(b),FOSTER ST AND MAPLE AVE,"January 31, 2015 at 11:20:00 AM",Disobeyed Stop Sign
yb208645,625-5/11-305(a),RIDGE AVE AND GARNETT PL,"February 05, 2015 at 4:53:00 PM",Disobey Traffic Control Device
yb208514,625-5/11-902,FOSTER ST AND SHERMAN AVE,"February 09, 2015 at 11:00:00 AM",Failed to Yield-Turning Left
1557851,8-14-3,2400 SHERIDAN RD,"February 11, 2015 at 12:00:00 AM",Possession of Drug Paraphernalia
1557852,8-14-3,2400 SHERIDAN RD,"February 11, 2015 at 12:00:00 AM",Possession of Drug Paraphernalia
1557823,9-5-12(B),2400 SHERIDAN RD,"February 14, 2015 at 2:15:00 AM",Criminal Damage to City Property
1557824,9-5-12(F),2400 SHERIDAN RD,"February 15, 2015 at 2:58:00 AM",Possession of Stolen Property
yb208646,625-5/12-201(b),1600 CHICAGO AVE,"February 25, 2015 at 8:48:00 PM",Driving without lights when required-Headlights/Taillights none/Inoperable
yb208647,625-5/3-707,1600 CHICAGO AVE,"February 25, 2015 at 8:48:00 PM",Operate Uninsured Motor Vehicle
1557785,9-2-7,2347 SHERIDAN RD,"February 27, 2015 at 3:16:00 AM",Fire Department (Interference With)
1557786,9-2-7,2347 SHERIDAN RD,"February 27, 2015 at 3:16:00 AM",Fire Department (Interference With)
1558105,8-13-2,2347 SHERIDAN RD,"February 27, 2015 at 3:53:00 AM",Possession of Cannabis Prohibited
