_id,Incident Type,Date & Time Occurred Start,Date & Time Occurred End,Criminal Offense,Date & Time Reported,Location,Common Name,Disposition
2014-00000401,Theft,Mar  7 2014 01:00:00:000AM,Mar  7 2014 04:00:00:000PM,Theft $500 and Under,Mar  7 2014 04:21:51:000PM,1861 SHERIDAN RD,,Closed
2014-00000404,Public Service,Mar  7 2014 10:19:00:000PM,Mar  7 2014 10:45:00:000PM,,Mar  7 2014 10:19:19:000PM,1820 SHERIDAN RD,,Closed
2014-00000405,Drunkeness,Mar  8 2014 02:47:00:000AM,Mar  8 2014 03:06:00:000AM,Illegal Consumption by Minor,Mar  8 2014 02:47:07:000AM,2305 SHERIDAN RD,,Referred
2014-00000407,Public Service,Mar  8 2014 11:53:00:000AM,Mar  8 2014 12:15:00:000PM,,Mar  8 2014 12:02:17:000PM,1999 CAMPUS DR,,Closed
2014-00000411,Public Service,Mar  9 2014 03:48:00:000AM,Mar  9 2014 04:10:00:000AM,,Mar  9 2014 03:48:08:000AM,1861 SHERIDAN RD,,Closed
2014-00000412,Drunkeness,Mar  9 2014 03:48:00:000AM,Mar  9 2014 04:17:00:000AM,Illegal Consumption by Minor,Mar  9 2014 04:19:09:000AM,1861 SHERIDAN RD,,Referred
2014-00000414,Burglary,Mar  6 2014 12:00:00:000PM,Mar  6 2014 09:00:00:000PM,Residential Burglary,Mar  9 2014 04:35:20:000PM,1927 ORRINGTON AVE,,Closed
2014-00000416,Theft,Mar  9 2014 08:00:00:000AM,Mar  9 2014 05:00:00:000PM,Theft Over $500,Mar  9 2014 07:07:27:000PM,1820 CHICAGO AVE,,Closed
2014-00000417,Property Lost,Feb 24 2014 01:00:00:000PM,Mar  7 2014 07:00:00:000PM,,Mar 10 2014 10:32:44:000AM,1915 MAPLE AVE,,Closed
2014-00000418,Property Lost,Feb 17 2014 04:00:00:000PM,Feb 18 2014 08:30:00:000AM,,Mar 10 2014 01:07:22:000PM,617 FOSTER ST,,Open
2014-00000420,Harassment,Aug 10 2011 12:00:00:000PM,Mar 10 2014 12:00:00:000PM,Harrassment through electronic communications,Mar 10 2014 03:42:58:000PM,2220 CAMPUS DR,,Open
2014-00000421,Suspicious Circumstances,Mar  3 2014 09:00:00:000AM,Mar 10 2014 03:32:00:000PM,,Mar 10 2014 04:10:36:000PM,2033 SHERIDAN RD,,Closed
2014-00000422,Service to Other Agency,Mar 10 2014 05:27:00:000PM,Mar 10 2014 06:00:00:000PM,Alcoholic Beverages(Consumption/Possession In Public),Mar 10 2014 05:33:28:000PM,2321 RIDGE AVE,,Closed
2014-00000424,Public Service,Mar 11 2014 08:26:00:000AM,Mar 11 2014 08:26:00:000AM,,Mar 11 2014 08:40:50:000AM,710 EMERSON ST,,Closed
2014-00000425,Suspicious Circumstances,Mar  4 2014 10:00:00:000AM,Mar  4 2014 12:00:00:000PM,,Mar 11 2014 03:09:26:000PM,2240 CAMPUS DR,,Open
2014-00000426,Public Contact,Mar 11 2014 07:08:00:000PM,Mar 11 2014 07:12:00:000PM,,Mar 11 2014 07:12:24:000PM,1239 EMERSON ST,,Closed
2014-00000427,"Accident, personal injury",Mar 12 2014 08:07:00:000AM,Mar 12 2014 08:20:00:000AM,,Mar 12 2014 08:12:38:000AM,1835 HINMAN AVE,,Closed
2014-00000428,Service to Other Agency,Mar 12 2014 07:35:00:000AM,Mar 12 2014 07:35:00:000AM,,Mar 12 2014 09:52:23:000AM,SHERMAN AVE,,Referred to Evanston PD
2014-00000429,Suspicious Circumstances,Mar 12 2014 10:05:00:000AM,Mar 12 2014 03:08:00:000PM,,Mar 12 2014 02:26:00:000PM,633 CLARK ST,,Open
2014-00000431,Damage property,Mar 12 2014 02:00:00:000PM,Mar 12 2014 02:20:00:000PM,Criminal Damage to Property,Mar 12 2014 04:21:48:000PM,1800 CAMPUS DR,,Closed
2014-00000432,Public Service,Mar 12 2014 04:45:00:000PM,Mar 12 2014 05:10:00:000PM,,Mar 12 2014 04:48:35:000PM,2205 TECH DR,,Closed
2014-00000433,Public Service,Mar 12 2014 09:40:00:000PM,Mar 12 2014 10:00:00:000PM,,Mar 12 2014 09:42:46:000PM,2145 SHERIDAN RD,,Closed
2014-00000434,Suspicious Person(s),Mar 13 2014 10:09:00:000AM,Mar 13 2014 10:20:00:000AM,,Mar 13 2014 10:40:43:000AM,2145 SHERIDAN RD,,Closed
2014-00000436,Drunkeness,Mar 14 2014 02:28:00:000AM,Mar 14 2014 02:46:00:000AM,Illegal Consumption by Minor,Mar 14 2014 02:28:17:000AM,2245 SHERIDAN RD,,Referred
2014-00000437,Public Contact,Mar 14 2014 01:22:00:000AM,Mar 14 2014 01:33:00:000AM,,Mar 14 2014 03:09:40:000AM,584 LINCOLN ST,,Closed
2014-00000439,Public Service,Mar 14 2014 04:00:00:000PM,Mar 14 2014 04:15:00:000PM,,Mar 14 2014 04:07:08:000PM,617 LIBRARY PL,,Closed
2014-00000440,Lost & found prop,Mar 13 2014 05:26:00:000PM,Mar 14 2014 05:00:00:000PM,,Mar 14 2014 05:04:25:000PM,2001 SHERIDAN RD,,Closed
2014-00000443,Lost & found prop,Mar 15 2014 12:30:00:000PM,Mar 15 2014 12:50:00:000PM,Burglary,Mar 15 2014 06:47:28:000PM,1820 CHICAGO AVE,,Open
2014-00000444,Cannabis,Mar 15 2014 11:58:00:000PM,Mar 16 2014 01:49:00:000AM,"Illegal Consumption by Minor
Minor in Possession Purchase/Accept
Possession of Drug Paraphernalia",Mar 15 2014 11:58:11:000PM,2332 CAMPUS DR,,Referred
2014-00000445,Public Service,Mar 16 2014 01:33:00:000AM,Mar 16 2014 02:40:00:000AM,,Mar 16 2014 01:36:56:000AM,2305 SHERIDAN RD,,Closed
2014-00000446,Public Contact,Mar 16 2014 03:33:00:000AM,Mar 16 2014 03:49:00:000AM,,Mar 16 2014 03:48:35:000AM,2420 CAMPUS DR,,Unfounded
2014-00000448,Public Service,Mar 16 2014 04:25:00:000AM,Mar 16 2014 04:43:00:000AM,,Mar 16 2014 04:25:47:000AM,1970 CAMPUS DR,,Closed
2014-00000447,Service to Other Agency,Mar 16 2014 04:12:00:000AM,Mar 16 2014 04:20:00:000AM,,Mar 16 2014 04:27:53:000AM,1120 FOSTER ST,,Closed
2014-00000449,Service to Other Agency,Mar 16 2014 01:00:00:000PM,Mar 16 2014 03:00:00:000PM,,Mar 16 2014 03:43:26:000PM,2060 RIDGE AVE,,Closed
2014-00000450,Public Service,Mar 17 2014 01:19:00:000AM,Mar 17 2014 02:19:00:000AM,,Mar 17 2014 02:12:11:000AM,1820 SHERIDAN RD,,Closed
2014-00000451,Trespass,Mar 17 2014 06:00:00:000PM,Mar 17 2014 08:57:00:000PM,Criminal Trespass to land,Mar 17 2014 07:39:09:000PM,1970 CAMPUS DR,,Closed
2014-00000452,Hazardous condition,Mar 17 2014 10:34:00:000PM,Mar 17 2014 10:45:00:000PM,,Mar 17 2014 10:34:11:000PM,1725 ORRINGTON AVE,,Closed
2014-00000453,Drunkeness,Mar 17 2014 11:50:00:000PM,Mar 18 2014 12:05:00:000AM,Illegal Consumption by Minor,Mar 17 2014 11:54:00:000PM,1855 SHERIDAN RD,,Closed
2014-00000456,Service to Other Agency,Mar 18 2014 10:45:00:000AM,Mar 18 2014 10:55:00:000AM,,Mar 18 2014 11:14:10:000AM,2110 SHERIDAN RD,,Closed
2014-00000460,Public Service,Mar 18 2014 07:28:00:000PM,Mar 18 2014 07:40:00:000PM,,Mar 18 2014 07:33:11:000PM,633 EMERSON ST,,Closed
2014-00000461,Public Service,Mar 19 2014 02:40:00:000AM,Mar 19 2014 03:00:00:000AM,,Mar 19 2014 02:40:26:000AM,2145 SHERIDAN RD,,Closed
2014-00000463,Theft,Dec 15 2013 12:00:00:000PM,Mar 15 2014 10:00:00:000AM,Theft $500 and Under,Mar 19 2014 03:29:56:000PM,1800 CHICAGO AVE,,Open
2014-00000464,Public Service,Mar 19 2014 04:10:00:000PM,Mar 19 2014 05:23:00:000PM,,Mar 19 2014 04:29:44:000PM,633 EMERSON ST,,Closed
2014-00000465,Lost & found prop,Jan  1 2014 12:00:00:000PM,Mar 19 2014 12:00:00:000PM,,Mar 19 2014 04:39:43:000PM,2335 SHERIDAN RD,,Closed
2014-00000467,Lost & found prop,Mar 19 2014 08:45:00:000PM,Mar 19 2014 08:45:00:000PM,,Mar 19 2014 09:25:51:000PM,1999 CAMPUS DR,,Closed
2014-00000470,Suspicious situations,Mar 20 2014 09:57:00:000AM,Mar 20 2014 10:40:00:000AM,,Mar 20 2014 10:08:01:000AM,50 ARTS CIRCLE DR,,Closed
2014-00000471,Theft,Mar 19 2014 08:00:00:000AM,Mar 19 2014 09:00:00:000AM,"Theft $500 and Under
Theft Over $500",Mar 20 2014 12:43:09:000PM,1820 CHICAGO AVE,,Open
2014-00000475,Theft,Mar 20 2014 05:00:00:000PM,Mar 21 2014 06:50:00:000AM,Theft Over $500,Mar 21 2014 09:32:58:000AM,2300 CAMPUS DR,,Open
2014-00000477,Service to Other Agency,Mar 21 2014 10:27:00:000PM,Mar 21 2014 10:53:00:000PM,,Mar 21 2014 10:45:14:000PM,1630 CHICAGO AVE,,Closed
2014-00000478,Property Damage,Mar 22 2014 01:04:00:000AM,Mar 22 2014 01:30:00:000AM,,Mar 22 2014 02:18:00:000AM,2221 CAMPUS DR,,Closed
2014-00000480,Safety Hazard,Mar 22 2014 08:50:00:000AM,Mar 22 2014 09:30:00:000AM,,Mar 22 2014 09:29:12:000AM,2145 SHERIDAN RD,,Closed
2014-00000483,Cannabis,Mar 22 2014 02:42:00:000PM,Mar 22 2014 02:55:00:000PM,Unlawful Possession of cannabis,Mar 22 2014 02:48:20:000PM,2400 SHERIDAN RD,,Closed
2014-00000487,Service to Other Agency,Mar 23 2014 11:45:00:000AM,Mar 23 2014 12:10:00:000PM,,Mar 23 2014 12:10:55:000PM,FOSTER ST,,Closed
2014-00000488,Burglary,Mar 22 2014 09:00:00:000AM,Mar 24 2014 07:17:00:000AM,Burglary,Mar 24 2014 07:29:20:000AM,2311 CAMPUS DR,,Open
2014-00000489,Suspicious Circumstances,Mar 23 2014 01:00:00:000AM,Mar 23 2014 01:00:00:000AM,,Mar 24 2014 12:15:18:000PM,1201 DAVIS ST,,Open
2014-00000490,Public Service,Mar 24 2014 12:20:00:000PM,Mar 24 2014 12:20:00:000PM,,Mar 24 2014 01:12:17:000PM,1453 RIDGE AVE,,Closed
2014-00000491,Fraudulent activities,Dec 21 2013 12:00:00:000PM,Mar 24 2014 12:00:00:000PM,Theft Over $500,Mar 24 2014 03:03:09:000PM,1861 SHERIDAN RD,,Closed
2014-00000492,Suspicious Person(s),Mar 24 2014 07:20:00:000PM,Mar 24 2014 07:28:00:000PM,,Mar 24 2014 07:50:39:000PM,640 EMERSON ST,,Closed
2014-00000493,Damage property,Mar 25 2014 07:45:00:000AM,Mar 25 2014 01:05:00:000PM,Criminal Damage to Property,Mar 25 2014 01:19:36:000PM,1927 MAPLE AVE,,Open
2014-00000494,Theft,Mar 24 2014 10:00:00:000AM,Mar 24 2014 12:00:00:000PM,,Mar 25 2014 03:25:39:000PM,2420 CAMPUS DR,,Open
2014-00000495,Public Contact,Mar 25 2014 10:40:00:000PM,Mar 25 2014 10:55:00:000PM,,Mar 25 2014 10:53:23:000PM,1800 OAK AVE,,Closed
2014-00000496,Public Contact,Mar 26 2014 12:55:00:000AM,Mar 26 2014 01:05:00:000AM,,Mar 26 2014 12:53:56:000AM,1000 FOSTER ST,,Closed
2014-00000500,Sex offenses,Feb 15 2014 12:01:00:000AM,Feb 15 2014 11:59:00:000PM,Criminal Sexual Abuse,Mar 28 2014 02:15:00:000PM,NORTH CAMPUS RESIDENCE HALL,,Closed
2014-00000501,Domestic Situation,Feb 13 2014 12:01:00:000AM,Feb 13 2014 11:59:00:000PM,Domestic Battery,Mar 28 2014 02:42:00:000PM,SOUTH CAMPUS RESIDENCE,,Closed
2014-00000504,Public Service,Mar 29 2014 11:44:00:000AM,Mar 29 2014 12:08:00:000PM,,Mar 29 2014 11:47:29:000AM,1881 SHERIDAN RD,,Closed
2014-00000506,Security Building,Mar 31 2014 12:37:00:000AM,Mar 31 2014 12:40:00:000AM,,Mar 31 2014 12:37:18:000AM,2031 SHERIDAN RD,,Closed
2014-00000507,False alarm activation,Mar 31 2014 01:55:00:000AM,Mar 31 2014 02:20:00:000AM,,Mar 31 2014 01:55:50:000AM,2305 SHERIDAN RD,,Closed
2014-00000508,Public Service,Mar 31 2014 03:30:00:000PM,Mar 31 2014 04:00:00:000PM,,Mar 31 2014 03:58:19:000PM,1999 CAMPUS DR,,Closed
2014-00000509,Suspicious Circumstances,"April 01, 2014 at 12:30:00 AM","April 01, 2014 at 12:40:00 AM",,"April 01, 2014 at 12:41:10 AM",630 EMERSON ST,Hobart House,Closed
2014-00000511,Public Service,"April 01, 2014 at 6:20:00 PM","April 01, 2014 at 6:35:00 PM",,"April 01, 2014 at 6:35:29 PM",2170 CAMPUS DR,,Closed
2014-00000512,"Accident, personal injury","April 01, 2014 at 11:20:00 PM","April 01, 2014 at 11:25:00 PM",,"April 01, 2014 at 11:25:33 PM",655 UNIVERSITY PL,South Mid-Quad,Closed
2014-00000513,Service to Other Agency,"March 30, 2014 at 10:15:00 PM","March 30, 2014 at 10:45:00 PM",Driving Under the Influence - Alcohol,"April 01, 2014 at 11:47:18 PM",NA,,Closed
2014-00000514,Fire Call,"April 02, 2014 at 8:20:00 AM","April 02, 2014 at 8:33:00 AM",,"April 02, 2014 at 9:00:09 AM",2220 CAMPUS DR,Cook Hall,Closed
2014-00000515,Service to Other Agency,"April 02, 2014 at 9:22:00 AM","April 02, 2014 at 9:30:00 AM",No Driver's License,"April 02, 2014 at 9:30:05 AM",LAKE ST AND CHICAGO AVE,,Closed
2014-00000516,Theft,"April 02, 2014 at 9:00:00 AM","April 02, 2014 at 7:00:00 PM",Theft Over $500,"April 02, 2014 at 6:59:38 PM",1800 SHERIDAN RD,John Evans Center,Open
2014-00000519,Burglary,"April 03, 2014 at 1:20:00 PM","April 03, 2014 at 1:35:00 PM",Residential Burglary,"April 03, 2014 at 1:39:32 PM",1820 CHICAGO AVE,Allison Hall,Open
2014-00000520,Theft,"April 03, 2014 at 1:54:00 PM","April 03, 2014 at 2:20:00 PM",Theft $500 and Under,"April 03, 2014 at 1:58:38 PM",2200 CAMPUS DR,Pancoe,Open
2014-00000521,Public Service,"April 03, 2014 at 2:10:00 PM","April 03, 2014 at 3:00:00 PM",,"April 03, 2014 at 3:16:24 PM",2116 EWING AVE,,Closed
2014-00000523,Property Lost,"April 02, 2014 at 2:00:00 AM","April 02, 2014 at 9:00:00 PM",,"April 04, 2014 at 4:11:29 PM",2001 SHERIDAN RD,Jacobs Center,Open
2014-00000524,Service to Other Agency,"April 04, 2014 at 7:39:00 PM","April 04, 2014 at 7:55:00 PM",,"April 04, 2014 at 7:55:46 PM",900 HAMLIN ST,,Closed
2014-00000527,Cannabis,"April 05, 2014 at 2:30:00 AM","April 05, 2014 at 2:35:00 AM","Unlawful Possession of cannabis
Unlawful Use/Possession Drug Paraphernalia","April 05, 2014 at 2:47:09 AM",726 UNIVERSITY PL,Chapin Hall,Referred
2014-00000530,"Accident, personal injury","April 05, 2014 at 1:05:00 PM","April 05, 2014 at 1:20:00 PM",,"April 05, 2014 at 1:08:31 PM",601 LINCOLN ST,Long Field,Closed
2014-00000531,Public Service,"April 05, 2014 at 2:50:00 PM","April 05, 2014 at 3:00:00 PM",,"April 05, 2014 at 3:13:11 PM",1999 CAMPUS DR,Norris Center,Closed
2014-00000533,Service to Other Agency,"April 05, 2014 at 8:30:00 PM","April 05, 2014 at 10:15:00 PM",,"April 05, 2014 at 8:47:47 PM",2650 RIDGE AVE,,Closed
2014-00000534,Service to Other Agency,"April 06, 2014 at 12:04:00 AM","April 06, 2014 at 12:50:00 AM",,"April 06, 2014 at 12:37:42 AM",1710 ORRINGTON AVE,,Closed
2014-00000535,Drunkeness,"April 06, 2014 at 1:26:00 AM","April 06, 2014 at 1:45:00 AM",Illegal Consumption by Minor,"April 06, 2014 at 1:41:52 AM",1820 CHICAGO AVE,Allison Hall,Referred
2014-00000536,Service to Other Agency,"April 06, 2014 at 1:45:00 AM","April 06, 2014 at 2:00:00 AM",,"April 06, 2014 at 2:00:26 AM",1026 GARNETT PL,,Closed
2014-00000537,Public Service,"April 06, 2014 at 3:46:00 AM","April 06, 2014 at 4:08:00 AM",,"April 06, 2014 at 4:05:38 AM",1100 FOSTER ST,,Closed
2014-00000538,Service to Other Agency,"April 06, 2014 at 10:45:00 AM","April 06, 2014 at 11:15:00 AM",,"April 06, 2014 at 11:11:02 AM",HINMAN AVE AND CHURCH ST,,Closed
2014-00000539,Service to Other Agency,"April 06, 2014 at 9:56:00 AM","April 06, 2014 at 10:06:00 AM",,"April 06, 2014 at 11:44:33 AM",826 NOYES ST,,Closed
2014-00000540,Disorderly Conduct,"April 05, 2014 at 10:00:00 PM","April 06, 2014 at 11:00:00 AM",Fire Department (Tampering with Fire Department Equipment and/or Unlawful Boarding),"April 06, 2014 at 11:47:31 AM",1838 CHICAGO AVE,PARC Hall,Open
2014-00000541,Cannabis,"April 06, 2014 at 8:06:00 PM","April 06, 2014 at 9:19:00 PM",Possession of Cannabis 30 gm and Under,"April 06, 2014 at 8:27:24 PM",1927 ORRINGTON AVE,Foster/Walker,Closed
2014-00000542,Fire Call,"April 07, 2014 at 5:20:00 AM","April 07, 2014 at 5:20:00 AM",,"April 07, 2014 at 5:37:34 AM",1915 MAPLE AVE,Engelhart Hall,Closed
2014-00000543,Public Service,"April 07, 2014 at 6:16:00 AM","April 07, 2014 at 6:31:00 AM",,"April 07, 2014 at 6:20:09 AM",2169 CAMPUS DR,Allen Center,Closed
2014-00000544,Suspicious Circumstances,"April 07, 2014 at 7:55:00 AM","April 07, 2014 at 7:55:00 AM",,"April 07, 2014 at 8:11:42 AM",600 NOYES ST,,Closed
2014-00000546,Public Service,"April 07, 2014 at 3:20:00 PM","April 07, 2014 at 4:46:00 PM",,"April 07, 2014 at 3:55:16 PM",SHERIDAN RD AND CHICAGO AVE,,Closed
2014-00000547,Service to Other Agency,"April 07, 2014 at 6:00:00 PM","April 07, 2014 at 6:08:00 PM",,"April 07, 2014 at 6:22:08 PM",NOYES ST AND SHERMAN AVE,,Closed
2014-00000548,Public Service,"April 08, 2014 at 3:45:00 AM","April 08, 2014 at 4:10:00 AM",Illegal Consumption by Minor,"April 08, 2014 at 3:50:35 AM",1820 SHERIDAN RD,Arts Residential College,Referred
2014-00000551,Public Service,"April 08, 2014 at 11:30:00 AM","April 08, 2014 at 11:30:00 AM",,"April 08, 2014 at 11:43:51 AM",2311 CAMPUS DR,Sports & Aquatics Center,Closed
2014-00000552,Hit and Run,"April 07, 2014 at 12:00:00 PM","April 08, 2014 at 3:23:00 PM",Hit and Run,"April 08, 2014 at 3:31:23 PM",630 LINCOLN ST,Interview Center,Closed
2014-00000556,Security Building,"April 10, 2014 at 2:20:00 AM","April 10, 2014 at 2:25:00 AM",,"April 10, 2014 at 2:21:50 AM",2220 CAMPUS DR,Cook Hall,Closed
2014-00000559,Public Service,"April 10, 2014 at 11:01:00 PM","April 10, 2014 at 11:15:00 PM",,"April 10, 2014 at 11:06:57 PM",NA,,Closed
2014-00000560,Service to Other Agency,"April 11, 2014 at 1:06:00 AM","April 11, 2014 at 1:25:00 AM",Illegal Consumption by Minor,"April 11, 2014 at 1:07:52 AM",1454 ELMWOOD AVE,,Referred
2014-00000561,Service to Other Agency,"April 11, 2014 at 9:00:00 AM","April 11, 2014 at 9:10:00 AM",,"April 11, 2014 at 9:00:20 AM",1907 SHERMAN AVE,,Closed
2014-00000563,Property Lost,"March 15, 2014 at 10:00:00 PM","March 21, 2014 at 12:00:00 PM",,"April 11, 2014 at 12:38:54 PM",2400 SHERIDAN RD,Elder Hall,Closed
2014-00000565,Public Service,"April 11, 2014 at 3:30:00 PM","April 11, 2014 at 3:35:00 PM",,"April 11, 2014 at 3:27:05 PM",1801 MAPLE AVE,ITECH,Closed
2014-00000567,Suspicious Person(s),"April 11, 2014 at 11:30:00 AM","April 12, 2014 at 12:44:00 AM",,"April 12, 2014 at 12:44:36 AM",1855 SHERIDAN RD,East Fairchild,Closed
2014-00000568,Drunkeness,"April 12, 2014 at 1:06:00 AM","April 12, 2014 at 1:39:00 AM",Illegal Consumption by Minor,"April 12, 2014 at 1:06:28 AM",636 EMERSON ST,Pi Beta Phi,Closed
2014-00000569,Drunkeness,"April 12, 2014 at 1:22:00 AM","April 12, 2014 at 2:00:00 AM","All other Criminal Offenses
Illegal Consumption by Minor","April 12, 2014 at 1:22:52 AM",1855 SHERIDAN RD,East Fairchild,Referred
2014-00000573,Service to Other Agency,"April 12, 2014 at 4:00:00 PM","April 12, 2014 at 4:05:00 PM",Noise Prohibition (Loud Continued),"April 12, 2014 at 3:56:23 PM",2142 MAPLE AVE,,Closed
2014-00000575,Service to Other Agency,"April 12, 2014 at 8:35:00 PM","April 12, 2014 at 8:53:00 PM",,"April 12, 2014 at 8:52:07 PM",1600 ASBURY AVE,,Closed
2014-00000576,Service to Other Agency,"April 12, 2014 at 10:18:00 PM","April 12, 2014 at 10:30:00 PM",,"April 12, 2014 at 10:23:47 PM",1120 FOSTER ST,,Closed
2014-00000578,Service to Other Agency,"April 13, 2014 at 12:24:00 AM","April 13, 2014 at 12:52:00 AM",Noise Prohibition (Loud Continued),"April 13, 2014 at 12:25:19 AM",2200 SHERMAN AVE,,Closed
2014-00000579,Security Building,"April 13, 2014 at 1:17:00 AM","April 13, 2014 at 1:30:00 AM",,"April 13, 2014 at 1:23:51 AM",1841 SHERIDAN RD,,Closed
2014-00000580,Service to Other Agency,"April 13, 2014 at 1:40:00 AM","April 13, 2014 at 1:50:00 AM",,"April 13, 2014 at 1:42:55 AM",2147 SHERMAN AVE,,Closed
2014-00000583,Suspicious Circumstances,"April 13, 2014 at 5:20:00 AM","April 13, 2014 at 5:20:00 AM",,"April 13, 2014 at 7:01:09 AM",2315 SHERIDAN RD,McCulloch Hall,Closed
2014-00000584,Damage property,"April 13, 2014 at 8:00:00 AM","April 13, 2014 at 8:00:00 AM",Criminal Damage to Property,"April 13, 2014 at 8:17:00 AM",2315 CAMPUS DR,,Closed
2014-00000586,Public Service,"April 14, 2014 at 12:49:00 AM","April 14, 2014 at 1:05:00 AM",,"April 14, 2014 at 12:58:33 AM",2400 SHERIDAN RD,Elder Hall,Closed
2014-00000591,Public Service,"April 14, 2014 at 12:45:00 PM","April 14, 2014 at 2:30:00 PM",,"April 14, 2014 at 2:44:24 PM",633 EMERSON ST,Student Health,Closed
